gene1	gene2	Ka	Ks	KaKs
SEN0001	SG0002	0.0006	0.0013	0.47903
SEN0002	SG0003	0.0000	0.0066	0.00100
SEN0003	SG0004	0.0012	0.0023	0.50525
SEN0004	SG0005	0.0000	0.0036	0.00100
SEN0005	SG0006	0.0000	0.0000	0.00100
SEN0006	SG0007	0.0000	0.0000	99.00000
SEN0007	SG0008	0.0000	0.0052	0.00100
SEN0008	SG0009	0.0000	0.0000	99.00000
SEN0010	SG0011	0.0000	0.0000	0.00100
SEN0011	SG0012	0.0008	0.0014	0.59078
SEN0012	SG0013	0.0000	0.0000	0.00100
SEN0039	SG0042	0.0026	0.0027	0.96831
SEN0040	SG0043	0.0000	0.0000	0.07376
SEN0043	SG0047	0.0061	0.0001	99.00000
SEN0044	SG0047A	0.0000	0.0000	1.31482
SEN0045	SG0048	0.0000	0.0000	0.03774
SEN0046	SG0049	0.0000	0.0011	0.00100
SEN0047	SG0050	0.0000	0.0000	0.00100
SEN0048	SG0051	0.0061	0.0001	99.00000
SEN0049	SG0052	0.0000	0.0032	0.00100
SEN0052	SG0054	0.0000	0.0000	0.19357
SEN0065	SG0068	0.0017	0.0046	0.37030
SEN0066	SG0069	0.0000	0.0026	0.00100
SEN0067	SG0070	0.0000	0.0000	0.05541
SEN0068	SG0071	0.0000	0.0000	0.03345
SEN0069	SG0072	0.0000	0.0000	0.09178
SEN0071	SG0073	0.0000	0.0000	0.00100
SEN0073	SG0075	0.0033	0.0034	0.98051
SEN0074	SG0076	0.0000	0.0026	0.00100
SEN0075	SG0077	0.0017	0.0032	0.53669
SEN0076	SG0078	0.0021	0.0000	99.00000
SEN0077	SG0079	0.0031	0.0000	99.00000
SEN0078	SG0080	0.0012	0.0000	99.00000
SEN0079	SG0081	0.0000	0.0000	99.00000
SEN0080	SG0082	0.0000	0.0047	0.00100
SEN0087	SG0087	0.0054	0.0069	0.77857
SEN0088	SG0088	0.0000	0.0016	0.00100
SEN0089	SG0089	0.0000	0.0000	0.00100
SEN0090	SG0090	0.0000	0.0000	0.00100
SEN0091	SG0091	0.0000	0.0000	0.16812
SEN0092	SG0092	0.0000	0.0000	0.00100
SEN0093	SG0093	0.0000	0.0000	0.13120
SEN0094	SG0094	0.0000	0.0024	0.00100
SEN0095	SG0095	0.0006	0.0000	99.00000
SEN0096	SG0096	0.0000	0.0000	0.00153
SEN0097	SG0097	0.0000	0.0000	0.00100
SEN0098	SG0098	0.0009	0.0000	99.00000
SEN0099	SG0099	0.0019	0.0014	1.33152
SEN0102	SG0102	0.0063	0.0049	1.28426
SEN0103	SG0103	0.0000	0.0000	0.00100
SEN0104	SG0104	0.0007	0.0000	99.00000
SEN0105	SG0105	0.0018	0.0000	99.00000
SEN0106	SG0106	0.0000	0.0058	0.00100
SEN0107	SG0107	0.0022	0.0000	99.00000
SEN0108	SG0108	0.0028	0.0000	99.00000
